heart_rate,steps,calories,azm,resting_hr,hrv,br,sleep_minutes,sleep_efficiency,stress_level
106,101,49,0,74,21,19,417,0.86,High
83,138,50,0,56,17,17,304,0.81,High
87,197,81,2,67,19,14,381,0.73,High
81,448,95,8,67,34,17,469,0.78,Medium
58,864,124,19,59,42,17,472,0.7,Low
81,159,53,0,55,23,18,358,0.72,High
79,235,82,9,69,28,18,327,0.79,Medium
75,534,178,15,68,43,17,460,0.84,Low
89,288,97,4,70,38,16,451,0.9,Medium
101,185,64,3,71,17,19,424,0.72,High
96,172,66,2,70,22,13,424,0.73,High
88,179,70,3,65,19,15,404,0.81,High
88,452,96,7,72,39,16,383,0.73,Medium
80,370,87,5,70,29,12,467,0.86,Medium
89,319,124,6,73,27,14,434,0.8,Medium
81,286,128,7,69,33,15,355,0.9,Medium
103,26,84,3,72,15,16,376,0.86,High
89,279,86,5,74,36,14,309,0.91,Medium
83,261,76,8,64,28,15,466,0.89,Medium
65,896,136,18,62,49,15,316,0.73,Low
89,6,58,2,62,18,16,403,0.81,High
72,238,99,5,58,31,13,444,0.79,Medium
101,157,62,1,67,24,18,458,0.9,High
79,160,82,3,55,20,17,342,0.93,High
58,758,101,13,55,45,15,333,0.78,Low
84,22,76,0,61,23,18,323,0.9,High
76,678,141,17,73,40,19,343,0.78,Low
98,123,51,0,70,22,14,300,0.9,High
65,730,110,17,59,44,19,304,0.8,Low
76,401,89,9,58,25,15,423,0.88,Medium
73,895,142,10,67,43,14,460,0.81,Low
79,615,174,17,74,47,19,308,0.81,Low
86,98,57,0,59,24,13,402,0.78,High
79,195,61,0,57,15,17,358,0.75,High
66,641,146,16,69,46,15,467,0.78,Low
92,28,74,0,68,18,16,347,0.74,High
92,149,60,1,70,20,17,417,0.89,High
81,862,102,12,72,43,17,471,0.92,Low
62,724,135,13,67,40,15,472,0.79,Low
89,87,51,3,69,20,16,305,0.89,High
97,5,75,2,72,21,17,439,0.92,High
95,155,81,1,74,23,17,380,0.74,High
71,574,119,14,62,44,13,338,0.79,Low
67,582,123,13,69,48,14,418,0.87,Low
83,254,81,6,69,39,19,351,0.93,Medium
80,366,119,6,62,37,16,304,0.76,Medium
99,33,83,1,68,22,18,474,0.78,High
75,265,85,8,62,30,14,317,0.86,Medium
90,80,74,0,65,17,15,302,0.73,High
85,411,122,7,69,25,18,370,0.93,Medium
79,262,81,4,66,39,12,383,0.95,Medium
73,698,122,15,65,43,14,387,0.84,Low
92,128,78,3,63,22,17,324,0.79,High
104,91,58,3,73,15,14,347,0.8,High
78,711,125,16,71,45,16,379,0.77,Low
70,607,154,13,67,49,13,305,0.82,Low
64,751,170,13,63,48,17,339,0.7,Low
79,354,95,8,66,37,13,391,0.92,Medium
104,72,67,3,74,16,13,387,0.76,High
70,816,162,13,73,43,12,329,0.82,Low
93,94,64,2,72,22,16,438,0.8,High
101,48,82,0,71,24,18,466,0.9,High
75,778,179,14,68,42,18,439,0.73,Low
80,19,55,3,58,17,19,461,0.86,High
72,581,116,13,73,45,14,448,0.72,Low
64,530,132,16,56,48,17,455,0.82,Low
82,352,76,5,64,32,14,463,0.92,Medium
78,174,65,0,56,21,12,375,0.92,High
81,226,82,4,63,36,16,464,0.87,Medium
77,364,100,6,67,31,15,308,0.77,Medium
63,876,101,12,67,49,13,350,0.78,Low
72,762,174,14,70,45,15,475,0.82,Low
102,16,57,3,68,17,19,332,0.82,High
71,566,116,18,67,40,14,311,0.82,Low
93,15,84,2,59,24,13,474,0.73,High
95,188,54,0,64,21,19,384,0.78,High
81,132,47,0,55,23,16,448,0.74,High
95,169,63,3,69,15,12,403,0.93,High
88,436,81,9,69,27,19,358,0.86,Medium
100,125,43,2,68,17,13,343,0.85,High
104,139,56,0,74,16,16,471,0.94,High
83,130,70,3,62,20,18,318,0.78,High
75,315,112,5,62,38,16,365,0.9,Medium
65,226,111,8,55,31,13,303,0.72,Medium
77,316,117,5,65,31,18,456,0.75,Medium
80,21,77,2,57,15,17,388,0.95,High
66,791,125,14,58,42,17,351,0.74,Low
73,709,142,18,68,42,15,469,0.86,Low
79,338,80,7,63,37,19,409,0.74,Medium
80,488,129,4,64,28,19,330,0.76,Medium
72,438,100,6,56,30,19,385,0.89,Medium
97,38,61,2,67,17,19,356,0.86,High
66,822,145,11,71,45,14,465,0.72,Low
77,371,72,5,67,36,16,374,0.78,Medium
77,430,108,5,65,32,13,423,0.8,Medium
68,576,165,15,66,46,16,350,0.82,Low
92,194,66,2,64,23,15,427,0.76,High
100,80,64,1,69,18,14,317,0.71,High
57,605,161,11,60,44,13,435,0.94,Low
100,13,87,3,71,19,14,473,0.92,High
82,637,106,13,74,42,14,339,0.92,Low
97,151,48,2,68,24,15,367,0.84,High
72,738,111,12,71,41,19,348,0.7,Low
75,382,103,4,58,30,14,316,0.74,Medium
59,579,156,13,62,45,19,443,0.84,Low
55,506,112,14,56,48,13,417,0.78,Low
75,226,88,8,56,34,15,416,0.83,Medium
78,362,76,5,64,35,13,449,0.92,Medium
77,234,74,4,58,31,16,310,0.93,Medium
72,822,117,17,74,41,15,445,0.84,Low
82,277,117,6,71,34,15,413,0.9,Medium
64,840,150,18,63,44,18,420,0.76,Low
99,188,43,0,69,16,18,332,0.94,High
58,611,130,15,59,41,12,425,0.79,Low
70,642,134,19,61,46,18,432,0.85,Low
97,22,50,0,71,22,18,469,0.75,High
64,855,164,15,57,47,16,322,0.84,Low
86,60,78,1,64,17,18,402,0.7,High
59,637,122,13,57,41,12,455,0.91,Low
100,73,78,2,70,16,12,387,0.82,High
71,416,77,8,60,28,19,371,0.72,Medium
79,267,112,9,65,33,17,464,0.71,Medium
76,636,122,16,67,47,16,465,0.78,Low
91,378,106,5,72,39,19,478,0.73,Medium
72,485,96,8,57,36,18,416,0.92,Medium
91,6,75,0,70,15,18,418,0.92,High
71,649,147,14,65,44,14,348,0.76,Low
81,493,113,8,66,27,16,479,0.74,Medium
64,591,101,15,68,46,13,325,0.72,Low
69,615,168,16,73,46,14,310,0.88,Low
77,457,86,6,61,26,12,439,0.92,Medium
84,241,98,8,74,27,16,469,0.79,Medium
84,495,80,5,69,37,19,430,0.89,Medium
79,374,102,8,67,38,18,400,0.71,Medium
72,820,178,17,70,43,19,352,0.79,Low
56,577,145,18,58,43,18,316,0.8,Low
72,701,165,11,66,47,19,382,0.75,Low
80,466,106,9,70,38,18,410,0.93,Medium
67,873,150,19,72,45,17,367,0.91,Low
60,670,139,18,55,46,13,433,0.75,Low
63,574,137,12,58,44,17,433,0.83,Low
73,797,144,12,67,45,15,314,0.88,Low
68,577,149,17,60,47,18,394,0.91,Low
77,471,89,9,60,39,19,354,0.78,Medium
73,380,92,9,58,27,14,423,0.93,Medium
74,203,127,8,58,31,16,373,0.88,Medium
94,64,49,2,71,23,14,477,0.72,High
88,147,77,0,64,15,16,396,0.78,High
80,159,62,0,55,15,13,407,0.86,High
67,689,124,17,72,46,12,359,0.82,Low
106,22,70,1,74,24,18,414,0.85,High
65,858,132,17,68,46,12,479,0.86,Low
90,182,81,2,68,20,19,391,0.95,High
87,38,79,2,63,22,17,319,0.92,High
101,182,49,2,72,21,18,434,0.82,High
85,104,89,0,61,19,16,415,0.82,High
103,120,62,1,69,17,19,360,0.82,High
68,677,137,10,62,48,19,479,0.8,Low
60,540,104,11,55,41,16,457,0.71,Low
100,84,62,0,66,16,14,448,0.82,High
84,64,87,1,62,22,13,308,0.91,High
71,342,85,5,61,28,12,411,0.81,Medium
92,139,47,2,71,16,12,391,0.92,High
91,96,77,2,59,21,19,411,0.79,High
68,888,167,16,64,41,12,365,0.83,Low
84,246,119,7,71,38,18,455,0.7,Medium
63,556,140,15,62,41,16,466,0.95,Low
79,158,68,0,57,15,13,353,0.9,High
66,391,110,9,56,33,13,430,0.77,Medium
98,62,65,1,68,24,19,466,0.83,High
80,556,169,12,74,43,18,452,0.76,Low
66,851,160,10,63,48,19,329,0.75,Low
105,146,78,2,74,18,13,432,0.9,High
87,158,75,0,66,24,16,373,0.8,High
78,541,146,17,72,45,17,352,0.85,Low
51,890,103,16,56,49,15,377,0.9,Low
80,566,129,14,71,49,15,384,0.84,Low
62,890,104,12,59,49,19,466,0.8,Low
54,689,167,13,55,43,13,457,0.81,Low
80,10,62,2,59,23,19,405,0.88,High
65,688,116,18,69,47,14,313,0.9,Low
76,305,128,7,62,29,15,412,0.8,Medium
67,863,167,14,67,46,15,312,0.71,Low
78,279,116,8,65,38,13,392,0.85,Medium
72,217,103,9,57,27,13,384,0.91,Medium
75,455,81,4,56,27,12,418,0.85,Medium
102,141,63,0,68,19,13,381,0.85,High
96,155,64,2,69,20,19,323,0.7,High
68,451,112,7,55,33,15,479,0.91,Medium
89,256,72,8,73,28,15,400,0.9,Medium
55,530,165,14,57,44,14,476,0.94,Low
93,35,41,2,65,18,14,421,0.92,High
65,680,102,18,60,47,19,338,0.83,Low
81,304,118,8,64,36,15,430,0.71,Medium
84,320,107,6,66,34,18,410,0.81,Medium
73,799,135,12,71,45,15,466,0.92,Low
79,383,100,5,61,26,18,331,0.81,Medium
76,285,113,5,64,30,14,394,0.77,Medium
69,896,126,11,60,41,19,449,0.74,Low
77,622,107,14,71,46,16,437,0.81,Low
91,54,57,2,70,15,14,429,0.72,High
77,471,105,8,63,37,15,434,0.94,Medium
84,209,93,6,72,39,19,467,0.73,Medium
61,655,176,15,59,43,13,389,0.87,Low
81,162,69,3,55,22,15,438,0.77,High
68,241,107,8,55,31,13,462,0.94,Medium
84,406,94,9,73,26,14,426,0.89,Medium
76,316,105,8,62,30,12,431,0.87,Medium
62,640,143,17,62,45,13,474,0.7,Low
77,370,75,4,67,28,16,335,0.86,Medium
68,724,153,14,69,42,19,351,0.76,Low
85,173,65,3,59,17,13,334,0.78,High
83,186,76,0,59,18,16,343,0.78,High
96,182,82,0,62,24,18,321,0.93,High
90,141,76,0,58,20,19,399,0.87,High
77,454,91,8,63,26,14,328,0.85,Medium
74,281,79,5,62,25,12,417,0.86,Medium
76,271,128,8,62,25,13,392,0.92,Medium
71,408,119,5,60,39,15,382,0.9,Medium
94,41,49,1,68,18,17,433,0.9,High
85,289,75,4,74,35,16,400,0.83,Medium
102,27,63,2,73,18,18,345,0.88,High
52,696,162,17,55,49,13,361,0.83,Low
92,108,68,0,61,16,12,420,0.71,High
69,308,76,5,55,27,16,323,0.8,Medium
77,861,125,11,72,43,17,419,0.8,Low
88,227,76,9,69,37,13,405,0.88,Medium
92,185,72,0,66,21,14,427,0.8,High
62,714,101,15,56,41,16,448,0.81,Low
67,336,122,8,57,36,16,426,0.76,Medium
64,544,123,17,57,44,13,328,0.75,Low
69,251,116,6,56,37,19,428,0.94,Medium
83,447,127,5,65,30,17,355,0.91,Medium
80,693,151,16,73,44,16,377,0.95,Low
79,443,98,7,69,39,17,338,0.93,Medium
60,795,141,12,56,42,19,415,0.95,Low
82,454,108,6,63,34,12,399,0.75,Medium
82,263,81,6,68,32,18,330,0.85,Medium
72,335,76,8,58,29,16,363,0.93,Medium
95,5,58,3,74,23,12,333,0.84,High
103,194,77,0,71,20,13,330,0.89,High
79,429,113,6,60,37,12,479,0.83,Medium
83,305,97,7,71,37,14,472,0.72,Medium
59,773,146,13,55,49,19,456,0.77,Low
72,477,83,5,61,27,18,336,0.92,Medium
81,284,79,6,66,39,15,328,0.74,Medium
68,585,120,15,67,43,17,452,0.89,Low
100,43,86,3,72,19,15,477,0.74,High
89,61,63,1,57,21,15,326,0.92,High
85,209,116,7,69,36,17,328,0.72,Medium
64,683,148,11,68,40,19,354,0.94,Low
62,526,147,16,56,44,15,396,0.72,Low
82,3,76,2,59,20,16,435,0.71,High
91,126,81,1,60,17,16,411,0.8,High
61,701,119,10,57,45,14,409,0.88,Low
76,769,138,14,67,43,17,422,0.93,Low
103,72,68,2,73,24,15,433,0.84,High
88,2,83,3,65,20,19,318,0.78,High
73,602,136,11,73,41,12,422,0.79,Low
50,817,106,16,55,47,18,324,0.87,Low
78,405,113,6,65,26,16,342,0.85,Medium
93,16,54,0,59,20,16,398,0.75,High
68,761,166,14,69,40,15,467,0.8,Low
69,700,135,15,74,46,14,465,0.86,Low
92,148,73,1,59,23,17,355,0.77,High
62,756,158,19,58,43,16,341,0.76,Low
101,170,40,1,74,24,16,407,0.85,High
79,318,111,7,62,31,14,441,0.72,Medium
86,440,94,7,70,29,19,357,0.89,Medium
84,14,40,2,59,21,15,372,0.9,High
93,71,60,0,67,15,13,418,0.91,High
68,786,119,12,71,41,17,401,0.94,Low
61,827,100,18,64,47,13,424,0.84,Low
58,832,109,15,59,43,13,416,0.78,Low
77,725,115,17,73,41,13,353,0.79,Low
59,562,171,16,64,48,18,334,0.8,Low
84,358,101,4,70,31,16,322,0.9,Medium
87,159,53,0,61,22,19,404,0.9,High
85,254,112,8,67,25,17,332,0.95,Medium
85,132,85,2,64,17,18,385,0.79,High
75,483,122,5,59,26,17,423,0.79,Medium
74,257,86,9,59,38,18,325,0.9,Medium
103,144,52,0,70,23,16,364,0.85,High
82,400,123,4,65,34,13,461,0.88,Medium
89,67,66,1,58,21,15,348,0.84,High
75,843,126,17,70,44,14,377,0.72,Low
70,848,109,11,71,42,19,321,0.78,Low
88,88,87,3,58,15,16,425,0.88,High
95,151,81,2,72,17,15,352,0.87,High
75,358,121,7,60,33,19,420,0.91,Medium
61,870,178,18,58,44,13,322,0.82,Low
52,518,161,11,57,48,17,449,0.79,Low
83,170,70,3,63,18,18,394,0.95,High
79,231,99,9,69,38,16,426,0.86,Medium
77,200,89,4,62,28,18,385,0.84,Medium
72,622,101,13,74,48,14,440,0.91,Low
67,584,105,12,67,48,18,385,0.95,Low
82,388,111,4,71,25,19,343,0.86,Medium
90,413,106,9,74,37,17,372,0.83,Medium
97,97,47,1,63,17,19,445,0.93,High
80,856,166,19,73,47,15,427,0.91,Low
69,549,139,12,67,47,17,396,0.71,Low
104,117,57,0,71,18,13,335,0.85,High
94,155,46,2,61,16,19,401,0.9,High
66,604,123,17,71,42,16,430,0.94,Low
85,120,72,2,55,24,18,432,0.7,High
74,270,83,4,62,28,12,321,0.85,Medium
88,120,54,1,59,22,13,306,0.94,High
105,140,53,1,71,23,18,459,0.71,High
89,178,41,3,62,24,18,385,0.71,High
96,154,77,3,74,15,16,459,0.91,High
56,660,140,17,55,40,14,476,0.88,Low
72,304,87,8,57,35,16,468,0.78,Medium
55,613,146,11,57,49,13,353,0.75,Low
84,163,60,3,57,21,15,345,0.88,High
90,57,67,3,63,17,12,443,0.74,High
101,81,73,3,71,20,17,330,0.74,High
93,115,49,3,72,16,13,370,0.73,High
108,68,89,3,74,23,16,379,0.74,High
71,289,85,8,57,39,15,410,0.81,Medium
82,460,72,7,65,34,17,331,0.72,Medium
64,680,105,10,64,44,17,314,0.73,Low
90,60,62,2,65,15,14,442,0.93,High
81,822,166,10,72,43,18,433,0.74,Low
79,454,123,6,63,38,13,446,0.91,Medium
92,108,80,3,63,19,17,357,0.81,High
97,37,56,2,64,21,13,314,0.83,High
85,31,77,0,57,17,18,381,0.9,High
91,187,84,3,71,18,14,479,0.87,High
77,450,72,5,59,30,19,311,0.81,Medium
89,25,87,0,61,16,18,410,0.93,High
70,640,138,17,68,41,14,386,0.76,Low
74,771,112,16,65,45,19,440,0.88,Low
60,736,118,18,63,44,19,334,0.71,Low
89,188,67,3,67,19,14,330,0.91,High
63,721,143,12,56,44,14,310,0.74,Low
78,298,111,9,63,34,13,363,0.85,Medium
82,22,62,0,59,23,17,316,0.9,High
87,117,44,2,66,21,19,332,0.77,High
75,235,92,5,57,26,14,342,0.73,Medium
85,82,83,3,65,21,14,453,0.75,High
84,289,115,8,71,28,14,408,0.9,Medium
78,43,69,3,57,22,19,378,0.81,High
83,226,113,6,67,31,16,310,0.93,Medium
71,426,114,4,60,30,14,456,0.8,Medium
74,375,73,9,59,32,18,388,0.82,Medium
100,140,45,1,70,22,17,468,0.78,High
99,77,47,0,70,19,13,444,0.78,High
66,585,121,13,64,40,18,396,0.75,Low
76,381,106,5,66,35,16,384,0.71,Medium
68,567,143,19,60,49,18,405,0.75,Low
98,29,62,3,67,21,16,346,0.73,High
87,187,78,0,57,18,12,374,0.84,High
92,193,84,2,66,22,19,321,0.88,High
58,774,101,16,55,42,12,451,0.71,Low
76,808,151,10,69,49,12,337,0.83,Low
92,90,85,1,63,22,13,330,0.87,High
77,659,144,10,73,49,19,391,0.73,Low
66,561,127,13,67,42,14,392,0.74,Low
83,279,115,7,69,32,15,424,0.83,Medium
73,757,144,19,64,43,16,385,0.71,Low
93,252,110,5,74,30,17,430,0.82,Medium
90,64,65,1,62,22,16,436,0.81,High
74,319,122,6,60,30,12,477,0.88,Medium
83,200,70,8,68,38,16,324,0.78,Medium
82,870,124,18,74,48,13,461,0.87,Low
73,480,99,5,60,31,13,325,0.92,Medium
78,319,104,9,64,37,18,352,0.73,Medium
92,190,72,0,72,16,12,329,0.84,High
58,875,172,14,58,40,13,355,0.82,Low
80,349,75,4,70,36,17,336,0.73,Medium
99,194,49,2,71,16,16,389,0.74,High
72,622,112,15,73,48,19,374,0.72,Low
69,883,120,14,65,47,14,454,0.8,Low
102,160,60,2,71,18,16,304,0.86,High
86,211,121,8,67,29,15,478,0.7,Medium
71,327,107,7,57,38,16,319,0.77,Medium
72,532,134,18,69,47,18,379,0.75,Low
80,574,166,11,71,42,13,352,0.9,Low
105,172,43,1,74,22,15,463,0.71,High
62,602,145,14,64,44,15,318,0.82,Low
66,746,143,16,64,48,15,327,0.89,Low
76,484,75,5,61,35,18,343,0.94,Medium
66,298,100,6,55,28,12,411,0.72,Medium
98,40,80,2,67,15,13,369,0.91,High
92,134,77,0,61,20,16,313,0.84,High
66,844,101,18,71,46,12,357,0.87,Low
60,825,123,15,58,40,12,386,0.87,Low
87,7,42,1,56,23,18,459,0.94,High
56,716,166,11,56,41,19,357,0.84,Low
74,252,110,6,55,32,18,420,0.82,Medium
93,103,56,0,63,20,16,452,0.82,High
57,719,134,15,58,41,14,305,0.89,Low
86,37,48,0,56,19,18,449,0.83,High
87,315,111,8,71,35,18,377,0.7,Medium
86,356,98,9,67,29,19,375,0.75,Medium
73,874,134,16,66,44,19,377,0.79,Low
58,623,116,18,62,47,16,478,0.78,Low
73,678,140,17,70,42,16,352,0.94,Low
79,324,84,4,66,27,19,372,0.87,Medium
71,286,114,6,61,30,19,340,0.79,Medium
60,648,165,17,56,47,13,416,0.76,Low
72,538,101,12,71,41,14,316,0.94,Low
87,249,114,4,69,27,14,466,0.81,Medium
83,306,80,4,64,32,18,345,0.8,Medium
94,145,89,3,68,22,18,400,0.87,High
79,349,74,7,62,29,12,346,0.93,Medium
65,767,108,19,56,44,16,324,0.7,Low
95,6,69,1,68,16,13,389,0.88,High
79,265,124,8,68,32,17,342,0.73,Medium
78,708,161,10,74,41,16,383,0.71,Low
72,536,102,11,74,47,17,369,0.92,Low
66,508,135,14,58,47,14,317,0.73,Low
72,693,126,17,74,49,17,392,0.94,Low
101,193,88,1,74,23,15,392,0.95,High
74,650,129,18,70,47,17,459,0.83,Low
55,561,107,14,57,40,16,436,0.79,Low
69,710,117,13,72,47,18,479,0.85,Low
64,868,155,10,62,43,15,459,0.79,Low
63,637,118,19,55,41,19,326,0.75,Low
86,325,85,9,67,33,17,312,0.95,Medium
83,250,124,9,66,31,16,477,0.73,Medium
92,316,85,8,73,28,12,330,0.79,Medium
73,299,86,4,59,38,17,302,0.82,Medium
79,446,104,5,64,25,15,383,0.8,Medium
84,22,72,2,55,22,15,408,0.88,High
85,86,57,2,61,18,16,461,0.84,High
107,91,66,3,73,15,14,418,0.73,High
55,870,153,13,60,43,12,341,0.71,Low
74,441,85,4,61,36,14,348,0.86,Medium
76,850,142,19,71,46,16,456,0.81,Low
81,335,125,6,66,28,14,334,0.79,Medium
94,114,51,2,67,21,18,335,0.77,High
65,838,150,14,56,42,15,321,0.86,Low
75,734,168,19,72,46,16,453,0.78,Low
94,72,80,2,63,24,16,414,0.93,High
64,774,174,11,62,49,16,455,0.94,Low
90,117,78,2,60,18,17,325,0.75,High
99,22,75,1,70,22,14,360,0.79,High
68,619,162,17,62,42,19,405,0.75,Low
75,490,101,5,64,25,16,307,0.81,Medium
100,88,73,0,69,24,12,465,0.85,High
103,155,60,3,72,18,16,433,0.8,High
68,897,163,17,67,49,18,300,0.75,Low
63,511,131,10,65,49,15,452,0.94,Low
66,795,128,13,71,43,13,327,0.88,Low
51,795,157,19,56,40,18,345,0.82,Low
72,306,117,5,59,39,13,428,0.84,Medium
72,330,125,8,59,31,17,326,0.74,Medium
71,588,114,19,70,49,16,449,0.86,Low
93,71,86,0,64,22,15,373,0.78,High
88,74,48,1,64,20,16,434,0.73,High
95,180,64,3,65,17,16,381,0.76,High
105,52,62,3,73,19,14,320,0.71,High
91,36,88,2,57,15,17,445,0.74,High
69,468,126,5,57,27,16,449,0.73,Medium
66,528,159,12,62,44,19,394,0.85,Low
88,6,85,3,66,15,15,467,0.83,High
103,176,66,1,74,24,16,375,0.83,High
86,293,114,5,68,27,13,328,0.83,Medium
87,418,97,9,73,34,16,397,0.79,Medium
88,157,69,1,64,24,16,345,0.8,High
97,51,46,2,70,22,17,330,0.74,High
79,300,95,7,63,30,15,460,0.71,Medium
83,718,141,17,74,40,14,356,0.72,Low
62,666,143,10,67,45,15,447,0.93,Low
68,840,157,12,62,48,14,368,0.85,Low
73,634,106,17,70,40,19,330,0.94,Low
90,24,78,3,65,17,19,324,0.78,High
77,510,171,19,68,41,15,366,0.89,Low
94,42,79,0,69,21,14,329,0.73,High
56,589,125,13,61,42,12,395,0.81,Low
70,603,142,10,63,47,18,312,0.79,Low
67,838,158,13,58,46,16,388,0.71,Low
82,259,82,9,68,32,15,385,0.75,Medium
63,892,179,13,56,41,12,381,0.93,Low
74,587,102,12,71,40,13,450,0.94,Low
81,428,105,8,63,32,13,359,0.91,Medium
70,302,94,5,56,29,15,356,0.8,Medium
62,540,143,12,61,46,13,424,0.8,Low
70,579,137,15,62,47,13,408,0.78,Low
77,169,77,2,56,17,14,324,0.91,High
63,616,116,12,67,49,17,441,0.82,Low
74,673,121,13,74,47,16,399,0.8,Low
78,329,94,9,65,38,17,365,0.85,Medium
58,659,122,17,58,44,12,390,0.88,Low
69,732,132,18,64,48,16,366,0.75,Low
96,106,84,2,72,15,18,387,0.77,High
86,114,76,3,66,21,15,440,0.81,High
77,252,78,4,67,37,16,354,0.82,Medium
94,115,44,0,71,20,15,384,0.94,High
97,134,71,3,71,19,16,406,0.75,High
90,126,71,3,68,18,14,307,0.9,High
69,765,105,16,71,44,18,311,0.83,Low
63,613,162,12,57,45,17,444,0.73,Low
67,846,165,13,69,46,19,361,0.85,Low
99,88,64,3,72,20,18,331,0.89,High
76,534,152,13,72,45,12,422,0.84,Low
81,171,59,1,60,23,13,444,0.75,High
74,864,144,10,66,47,16,401,0.78,Low
81,355,113,7,71,30,17,382,0.75,Medium
70,478,104,5,57,30,15,324,0.93,Medium
67,212,108,7,55,35,14,449,0.71,Medium
57,782,120,18,57,44,13,412,0.7,Low
103,33,55,2,74,18,17,428,0.82,High
69,559,169,19,65,42,17,382,0.95,Low
72,718,155,10,66,43,13,443,0.8,Low
51,718,162,10,55,44,17,316,0.82,Low
85,465,121,7,66,27,16,377,0.92,Medium
70,527,106,17,62,46,18,382,0.9,Low
77,477,96,8,59,38,15,316,0.77,Medium
74,206,92,4,63,35,14,441,0.78,Medium
87,228,88,4,69,34,12,354,0.94,Medium
100,141,58,0,69,17,19,400,0.8,High
82,624,128,12,74,42,13,439,0.72,Low
51,695,175,19,55,42,15,429,0.87,Low
62,873,117,15,61,41,17,368,0.72,Low
78,862,103,10,70,43,12,443,0.75,Low
68,554,137,12,59,48,19,418,0.9,Low
67,637,143,15,64,42,15,306,0.94,Low
67,756,113,12,63,49,18,474,0.75,Low
81,332,101,4,67,37,12,366,0.81,Medium
83,94,45,2,63,23,14,356,0.82,High
66,772,154,14,71,45,14,340,0.87,Low
79,515,152,15,73,40,15,391,0.91,Low
74,322,100,4,56,32,15,414,0.82,Medium
80,389,90,8,68,34,15,351,0.83,Medium
51,561,142,14,56,48,15,385,0.92,Low
64,890,110,18,61,40,18,341,0.91,Low
97,90,59,2,70,19,12,365,0.84,High
86,163,79,1,63,20,15,378,0.8,High
65,885,153,11,69,42,16,375,0.92,Low
82,56,82,2,62,17,18,363,0.75,High
84,499,100,6,72,35,14,444,0.75,Medium
51,738,141,13,56,49,13,305,0.84,Low
67,780,164,14,61,40,13,305,0.75,Low
65,825,131,14,59,42,17,462,0.73,Low
85,202,75,9,67,32,13,422,0.74,Medium
85,315,103,6,71,31,14,382,0.75,Medium
94,121,49,3,71,16,16,307,0.91,High
78,540,161,11,73,43,14,410,0.93,Low
91,165,72,0,59,15,18,445,0.93,High
76,284,100,4,60,37,17,434,0.72,Medium
84,68,74,1,56,20,17,379,0.88,High
65,789,108,19,70,49,19,323,0.84,Low
69,673,140,17,69,41,19,408,0.84,Low
81,505,177,16,72,45,15,426,0.76,Low
86,80,71,0,63,17,15,441,0.71,High
71,390,124,6,59,35,12,472,0.71,Medium
82,236,83,8,70,39,12,351,0.9,Medium
91,19,74,1,65,17,15,427,0.85,High
88,0,70,2,64,21,16,307,0.81,High
87,10,84,2,57,20,14,353,0.71,High
67,462,94,9,56,28,12,351,0.76,Medium
85,244,103,8,73,35,18,475,0.86,Medium
71,861,127,12,65,47,17,380,0.88,Low
66,731,157,15,57,46,16,308,0.86,Low
105,89,64,3,74,22,18,420,0.91,High
71,835,125,12,69,40,15,436,0.76,Low
74,239,74,9,63,38,14,361,0.92,Medium
70,884,138,16,72,49,16,357,0.84,Low
89,61,66,2,66,23,12,394,0.73,High
87,373,114,8,70,35,13,442,0.76,Medium
63,503,100,17,62,40,17,422,0.71,Low
93,155,52,0,66,17,17,359,0.79,High
85,173,57,0,61,16,17,364,0.87,High
58,801,159,15,59,47,12,409,0.76,Low
63,685,156,10,55,45,16,420,0.72,Low
92,116,49,1,63,21,15,322,0.84,High
97,157,79,3,64,16,15,476,0.76,High
71,639,177,16,62,40,19,408,0.91,Low
77,424,80,6,67,33,19,330,0.72,Medium
68,481,123,6,56,27,13,476,0.82,Medium
93,41,52,0,65,19,14,367,0.73,High
53,602,132,10,57,46,17,451,0.79,Low
91,35,60,0,62,18,15,477,0.79,High
76,366,101,9,64,36,12,438,0.94,Medium
76,269,127,8,66,39,15,325,0.91,Medium
90,39,69,0,69,21,12,399,0.79,High
65,611,138,13,67,40,15,451,0.85,Low
91,236,88,6,73,35,16,335,0.84,Medium
72,495,93,5,61,39,16,439,0.8,Medium
93,12,75,1,72,22,15,453,0.73,High
88,377,85,7,73,26,15,372,0.72,Medium
74,249,89,9,64,28,16,445,0.94,Medium
83,318,110,8,69,28,19,312,0.74,Medium
87,458,118,6,72,25,14,343,0.74,Medium
87,167,56,1,60,22,16,337,0.87,High
85,2,40,3,59,23,14,446,0.92,High
55,838,116,15,60,42,16,439,0.85,Low
95,149,53,3,72,22,19,333,0.79,High
83,209,111,6,67,36,19,413,0.82,Medium
89,6,85,1,63,23,16,346,0.8,High
58,588,105,10,56,43,15,462,0.92,Low
71,219,102,5,56,26,17,378,0.92,Medium
105,60,62,1,73,19,14,326,0.92,High
85,278,121,5,66,37,15,357,0.83,Medium
64,699,170,13,61,49,18,475,0.92,Low
84,256,112,8,73,39,16,359,0.84,Medium
78,167,77,0,56,19,14,339,0.72,High
63,773,172,17,62,48,13,417,0.74,Low
67,744,103,13,64,48,19,396,0.9,Low
79,303,113,8,69,33,12,438,0.84,Medium
76,796,170,18,68,45,12,452,0.95,Low
83,80,40,0,62,17,17,341,0.8,High
70,235,88,9,57,25,13,471,0.91,Medium
76,188,69,2,56,21,13,377,0.87,High
